Category,Question,Scale (1-5)
Technical Quality,"How easy is it to use the application without encountering errors?",1 (Very Difficult) to 5 (Very Easy)
Technical Quality,"How quickly does the application respond when you click buttons or perform actions?",1 (Very Slow) to 5 (Very Fast)
Technical Quality,"How reliable is the application - does it work consistently without unexpected issues?",1 (Very Unreliable) to 5 (Very Reliable)
Technical Quality,"How well does the application save your work and progress?",1 (Poor) to 5 (Excellent)
Technical Quality,"How well does the application work across different devices (phone, tablet, computer)?",1 (Poor) to 5 (Excellent)
Interactive,"How easy is it to find what you're looking for in the application?",1 (Very Difficult) to 5 (Very Easy)
Interactive,"How clear are the instructions and guidance provided by the application?",1 (Very Unclear) to 5 (Very Clear)
Interactive,"How easy is it to complete tasks in the application?",1 (Very Difficult) to 5 (Very Easy)
Interactive,"How helpful are the messages and notifications you receive while using the application?",1 (Not Helpful) to 5 (Very Helpful)
Interactive,"How well does the application remember your preferences and settings?",1 (Poor) to 5 (Excellent)
Design,"How attractive and professional does the application look?",1 (Not Attractive) to 5 (Very Attractive)
Design,"How easy is it to read the text and see the images in the application?",1 (Very Difficult) to 5 (Very Easy)
Design,"How well does the application look on your device's screen?",1 (Poor) to 5 (Excellent)
Design,"How pleasant are the colors and visual elements used in the application?",1 (Not Pleasant) to 5 (Very Pleasant)
Design,"How well do the visual elements help you understand how to use the application?",1 (Not Helpful) to 5 (Very Helpful) 
